RegistryDate,ExpirationDate,HostCountry,DomainAge,URLType
,,,0,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1999-12-02 15:08:09,2020-12-02 15:08:09,US,7425,0
2014-07-04 07:35:02,2021-07-04 07:35:02,CN,2097,1
2013-03-19 20:03:25,2021-03-19 20:03:25,EG,2568,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1998-01-09 05:00:00,2021-01-08 05:00:00,US,8117,0
2002-05-20 18:06:29,2023-05-20 18:06:29,IN,6524,0
2019-08-27 12:01:44,2020-08-27 12:01:44,REDACTED FOR PRIVACY,217,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2013-06-16 02:38:02,2021-06-16 02:38:02,US,2480,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1999-03-25 05:00:00,2025-03-25 04:00:00,US,7677,0
1997-09-15 04:00:00,2028-09-14 04:00:00,US,8233,1
,,,0,1
2013-12-09 00:00:00,2020-08-31 15:00:00,,2304,0
2013-06-16 02:38:02,2021-06-16 02:38:02,US,2480,1
1996-05-20 04:00:00,2020-05-21 04:00:00,US,8716,0
2020-02-16 21:07:51,2025-02-16 21:07:51,AE,43,1
,,,0,0
2008-03-13 11:09:23,2021-03-13 11:09:23,US,4401,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2006-11-10 17:56:31,2020-11-10 17:56:31,,4889,0
2012-03-06 20:59:19,2021-03-06 20:59:19,CN,2946,1
,,,0,0
2019-12-04 05:23:05,2020-12-04 05:23:05,CN,118,1
2014-07-05 18:43:20,2021-07-05 18:43:20,US,2095,1
,,,0,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1996-08-30 04:00:00,2024-08-29 04:00:00,US,8614,0
2003-08-29 10:57:54,2023-08-29 10:57:54,CN,6059,1
1999-10-27 13:00:00,2020-10-26 14:00:00,,7461,0
2013-01-29 09:58:25,2021-01-29 09:58:25,US,2618,0
2011-04-29 11:29:16,2020-04-29 11:29:16,US,3259,0
2009-02-07 19:41:59,2028-02-07 19:41:59,REDACTED FOR PRIVACY,4069,0
