,RegistryDate,ExpirationDate,HostCountry,DomainAge,ExpYear,ExpMonth,ExpDay,URLType
64,2009-02-07 19:41:59,2028-02-07 19:41:59,REDACTED FOR PRIVACY,4053,2028.0,2.0,7.0,0
65,2008-03-13 11:09:23,2021-03-13 11:09:23,US,4385,2021.0,3.0,13.0,1
66,1998-05-27 04:00:00,2020-05-26 04:00:00,US,7963,2020.0,5.0,26.0,0
67,1993-09-30 04:00:00,2025-09-29 04:00:00,US,9663,2025.0,9.0,29.0,0
68,2013-01-29 09:58:25,2021-01-29 09:58:25,US,2602,2021.0,1.0,29.0,0
69,2016-01-04 11:26:32,2021-01-04 11:26:32,US,1532,2021.0,1.0,4.0,1
70,2003-09-11 17:06:56,2020-09-11 17:06:56,IN,6029,2020.0,9.0,11.0,1
71,2003-08-29 10:57:54,2023-08-29 10:57:54,CN,6043,2023.0,8.0,29.0,1
72,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,0
73,2019-08-27 12:01:44,2020-08-27 12:01:44,US,201,2020.0,8.0,27.0,1
74,2015-02-09 18:46:12,2021-02-09 18:46:12,FR,1860,2021.0,2.0,9.0,0
75,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,0
76,2002-05-20 18:06:29,2023-05-20 18:06:29,IN,6508,2023.0,5.0,20.0,0
77,1995-11-01 05:00:00,2021-02-02 11:59:59,US,8901,2021.0,2.0,2.0,0
78,2018-06-25 05:49:58,2020-06-25 05:49:58,CN,629,2020.0,6.0,25.0,1
79,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,0
80,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
81,1991-07-25 04:00:00,2028-07-24 04:00:00,US,10461,2028.0,7.0,24.0,0
82,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
83,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
84,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
85,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,0
86,2013-12-09 00:00:00,2020-08-31 15:00:00,US,2288,2020.0,8.0,31.0,0
87,2005-06-10 22:56:20,2021-06-10 22:56:20,US,5391,2021.0,6.0,10.0,0
88,2002-08-10 00:00:00,2028-08-10 00:00:00,US,6427,2028.0,8.0,10.0,1
89,2009-01-01 00:00:00,2020-08-01 00:00:00,US,4092,2009.0,8.0,1.0,1
90,2003-08-29 10:57:54,2023-08-29 10:57:54,US,6043,2023.0,8.0,29.0,1
91,2018-05-19 18:42:35,2020-05-19 18:42:35,CN,665,2020.0,5.0,19.0,1
92,1999-10-27 13:00:00,2020-10-26 14:00:00,US,7445,2020.0,10.0,26.0,0
93,1997-03-29 05:00:00,2028-03-30 04:00:00,US,8387,2028.0,3.0,30.0,1
94,2001-02-18 21:00:00,2021-02-19 21:00:00,US,6964,2021.0,2.0,19.0,0
95,2005-12-31 04:47:04,2026-12-31 04:47:04,us,5188,2026.0,12.0,31.0,0
96,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
97,2013-12-09 00:00:00,2020-08-31 15:00:00,US,2288,2020.0,8.0,31.0,0
98,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
99,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
100,2014-12-31 06:05:20,2021-12-31 06:05:20,US,1901,2021.0,12.0,31.0,1
101,2005-07-19 14:50:34,2026-07-19 14:50:34,US,5352,2026.0,7.0,19.0,0
102,2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3554,2023.0,6.0,22.0,1
103,1996-08-30 04:00:00,2024-08-29 04:00:00,US,8598,2024.0,8.0,29.0,0
